src_bytes,dst_bytes,hot,count,serror_rate,rerror_rate,diff_srv_rate,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,class,service_eco_i,service_ecr_i,service_http,service_private,flag_RSTR
6.2,0.0,0.0,1.099,0.0,0.0,0.0,150,0.17,0.02956,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.82,1.0,0.0,0.0677,255,0.1,0.0488,1,0.0,0.0,0.0,1.0,0.0
5.45,9.01,0.0,1.792,0.2,0.0,0.0,30,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5.297,6.043,0.0,3.434,0.0,0.0,0.0,255,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,4.805,0.0,1.0,0.05826,255,0.07,0.0677,1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,5.117,1.0,0.0,0.05826,255,0.04,0.0488,1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,4.77,1.0,0.0,0.05826,255,0.06,0.0677,1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,5.6,1.0,0.0,0.0488,255,0.09,0.0488,1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.9,1.0,0.0,0.05826,255,0.05,0.05826,1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,5.33,0.0,1.0,0.05826,255,0.05,0.0677,1,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,5.297,1.0,0.0,0.05826,255,0.05,0.0677,1,0.0,0.0,0.0,1.0,0.0
5.664,7.72,0.0,1.387,0.0,0.0,0.0,8,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5.812,0.0,0.0,1.099,0.0,0.0,0.0,2,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.457,1.0,0.0,0.05826,255,0.0,0.0677,1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.574,1.0,0.0,0.0488,255,0.01,0.05826,1,0.0,0.0,0.0,0.0,0.0
5.707,9.53,0.0,2.197,0.0,0.0,0.0,91,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
2.945,0.0,0.0,0.6934,0.0,0.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0
5.457,6.426,0.0,1.387,0.0,0.0,0.0,66,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5.84,7.074,0.0,2.303,0.0,0.0,0.0,157,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,5.41,1.0,0.0,0.0488,255,0.09,0.0488,1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.637,1.0,0.0,0.0488,238,0.07,0.05826,1,0.0,0.0,0.0,1.0,0.0
5.54,9.38,0.0,2.197,0.0,0.0,0.0,87,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,5.516,1.0,0.0,0.05826,255,0.01,0.05826,1,0.0,0.0,0.0,0.0,0.0
6.082,9.58,0.0,0.6934,0.0,0.0,0.0,255,0.1,0.0488,0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.637,1.0,0.0,0.05826,255,0.05,0.0677,1,0.0,0.0,0.0,1.0,0.0
5.43,8.8,0.0,1.792,0.0,0.0,0.0,43,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5.375,9.26,0.0,2.709,0.0,0.0,0.0,255,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
5.49,7.246,0.0,3.525,0.0,0.03,0.0,255,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
2.197,0.0,0.0,0.6934,0.0,0.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.06,1.0,0.0,0.0677,255,0.23,0.0392,1,0.0,0.0,0.0,0.0,0.0
5.72,6.32,0.0,2.303,0.0,0.0,0.0,9,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0
3.828,3.828,0.0,5.203,0.0,0.0,0.0,255,0.98,0.00995,0,0.0,0.0,0.0,0.0,0.0
