antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'dst_bytes'}),frozenset({'src_bytes'}),0.4533577431971374,0.4909295165182658,0.42456519930099024,0.9364904552129221,1.9075863717761987,1.0,0.2019985016234075,8.01565316187423,0.8703632679754085,0.8169081738851972,0.8752441030312521,0.9006547538374976
frozenset({'src_bytes'}),frozenset({'dst_bytes'}),0.4909295165182658,0.4533577431971374,0.42456519930099024,0.864819052462073,1.907586371776199,1.0,0.2019985016234075,4.04378181066895,0.9346001319706512,0.8169081738851972,0.7527067367082861,0.9006547538374976
frozenset({'hot'}),frozenset({'src_bytes'}),0.020470999417491885,0.4909295165182658,0.020138137638345675,0.983739837398374,2.0038311087407847,1.0,0.010088319791670684,31.307834734126697,0.5114253337274476,0.040992631489794186,0.9680591133659601,0.5123801314290793
frozenset({'src_bytes'}),frozenset({'dst_host_same_srv_rate'}),0.4909295165182658,0.49887659149538155,0.41237413663976036,0.8399864395287737,1.683755970611722,1.0,0.16746089277465231,3.1317558776197014,0.7977082177682973,0.7141518950857474,0.6806903095013739,0.8332959720579649
frozenset({'dst_host_same_srv_rate'}),frozenset({'src_bytes'}),0.49887659149538155,0.4909295165182658,0.41237413663976036,0.826605504587156,1.683755970611722,1.0,0.16746089277465231,2.9359091375401607,0.8103586885083957,0.7141518950857474,0.6593900038616842,0.8332959720579649
frozenset({'service_ecr_i'}),frozenset({'src_bytes'}),0.02546392610468503,0.4909295165182658,0.02392444037613381,0.9395424836601307,1.9138032080928538,1.0,0.011423447444903942,8.420300970022197,0.48995645119972675,0.04858060155457925,0.8812393994513756,0.49413771356495817
frozenset({'service_http'}),frozenset({'src_bytes'}),0.3324040941998835,0.4909295165182658,0.29861862361654323,0.8983602453373389,1.8299169536772273,1.0,0.13543164236230237,5.008576468639875,0.6793437608183026,0.5691063357386409,0.8003424713067105,0.7533160663927139
frozenset({'hot'}),frozenset({'dst_bytes'}),0.020470999417491885,0.4533577431971374,0.019514021802446536,0.9532520325203253,2.10264861872187,1.0,0.0102333357055425,11.693390884652565,0.5353688974692783,0.04295265134169796,0.9144816067585247,0.4981476755846854
frozenset({'dst_bytes'}),frozenset({'dst_host_same_srv_rate'}),0.4533577431971374,0.49887659149538155,0.4076724640093201,0.8992290748898678,1.8025080555382054,1.0,0.1815028983550937,4.972896775105939,0.8144585476682261,0.748624694376528,0.7989099622968352,0.8582050295216646
frozenset({'dst_host_same_srv_rate'}),frozenset({'dst_bytes'}),0.49887659149538155,0.4533577431971374,0.4076724640093201,0.8171809841534612,1.8025080555382054,1.0,0.1815028983550937,2.9900732933696723,0.8884387578267315,0.748624694376528,0.6655600375357198,0.8582050295216646
